gamma,mu_eta,sigma_eta2,rho_omega,sigma_nu2,epsilon,delta,avg_isr,var_log1p_isr,avg_gross_margin,gamma_OLS,rho_omega_ar1,sigma_eta2_ar1,avg_opex_sales,any_inventory_above_grid,failed,fail_code
1.373390841716156,-3.205552953080451,0.43588327473863764,0.016055563849524532,0.10105703090260006,11.529414561313825,0.029079573347540466,1.1641681292378343,0.022327932085209112,1.1797493244982709,-0.7373466361997773,-0.0262070906003359,0.03401796588633904,0.018914996515353954,False,False,0
1.43702720535252,-2.632168679844385,0.4666525055078683,0.03370262267305395,0.19772369756926675,19.529414561313825,0.047079573347540475,1.117786515329492,0.02604150486755272,1.1576042121159928,-1.1994257684494174,-0.05319324685571414,0.037198792840805774,0.018528200908599256,False,False,0
0.8006635689888835,-2.574989410664716,0.49978860018242455,0.051349681496583297,0.2943903642359334,6.529414561313825,0.06507957334754046,,,,,,,,False,True,1
0.8700850565921892,-2.207387402849128,0.13055783095165527,0.06899674032011278,0.13327925312482228,14.529414561313825,0.08307957334754047,,,,,,,,False,True,1
0.9337214202285529,-1.9325133981191656,0.161327061720886,0.08664379914364213,0.22994591979148898,10.529414561313825,0.011079573347540459,,,,,,,,False,True,3
0.9973577838649165,-1.7132590436770698,0.19209629249011684,0.10429085796717161,0.03661258645815562,18.529414561313825,0.015399573347540465,3.7327079883888863,0.4468694968968857,1.2570292336743314,0.5372228945780099,0.0023662586998929223,0.005783050265624429,0.10833985974800471,False,False,0
1.06099414750128,-1.5313489042151813,0.2228655232593476,0.12193791679070103,0.07957554942111858,8.529414561313825,0.033399573347540464,1.2013548850808293,0.055284599571977254,1.388704360671081,-0.049883925018481046,-0.032184714996546925,0.007832692024710023,0.10728586246814666,False,False,0
1.1246305111376436,-3.8082963826411613,0.2536347540285784,0.13958497561423044,0.17624221608778526,16.529414561313825,0.05139957334754047,1.0942388820070632,0.020999040119891114,1.1556540066883974,-0.12993418964230466,-0.008906721467938633,0.03364703369864279,0.008656512913686519,False,False,0
1.1882668747740075,-2.7318641732795057,0.2844039847978091,0.1572320344377598,0.2729088827544519,12.529414561313825,0.06939957334754046,1.1094859877684597,0.03375353862256702,1.2349982072631887,-0.6956178094441576,-0.021523168757938405,0.0340453966302032,0.021475728712157038,False,False,0
1.251903238410371,-2.1927492284594585,0.31517321556704003,0.17487909326128928,0.11179777164334079,4.529414561313825,0.08739957334754046,0.9111277844306709,0.01849405262761731,1.5414605199603744,-0.7589548416820542,-0.02065723759474518,0.03630766336337374,0.03222489530029963,False,False,0
1.3155396020467345,-1.8816528232930323,0.3459424463362707,0.19252615208481863,0.20846443831000747,5.279414561313825,0.018999573347540464,1.5531309682159078,0.07235743387868672,1.3976105239058916,0.3154207767036059,-0.008874665738461773,0.035170276624142655,0.04483779012977859,False,False,0
1.3791759656830982,-1.6461364624024184,0.3767116771055016,0.2101732109083481,0.015131104976674109,13.279414561313825,0.03699957334754046,0.9774938607274124,0.013029660513799031,1.2147601241694062,-1.168092821487195,-0.042781983637548836,0.010543200458891337,0.0423616784652678,False,False,0
1.442812329319462,-1.4569656111929894,0.40748090787473223,0.22782026973187744,0.14401999386556305,9.279414561313825,0.05499957334754048,1.090942558315672,0.03053676244690699,1.308952414198834,-0.9950582040840854,-0.06891944691772305,0.02486171167334662,0.042695383567203794,False,False,0
0.8064486929558256,-1.2975717706622847,0.438250138643963,0.2465053908391439,0.2406866605322297,17.279414561313825,0.07299957334754047,,,,,,,,False,True,1
0.8758701805591314,-3.0503215143769093,0.4690193694131939,0.26415244966267326,0.047353327198896344,7.279414561313825,0.09099957334754047,0.8739829752941259,0.005744438990393572,1.327339175900372,-6.557436159712371,-0.10636134505517301,0.052863274491032904,0.02007566936541009,False,False,0
0.939506544195495,-2.2601703979463803,0.10215546408774996,0.2817995084862027,0.09031629016185933,15.279414561313825,0.022599573347540466,1.1494608450184813,0.01896049996077745,1.1612411278097465,-0.8947330736862833,-0.12604434749390486,0.006756361858334161,0.04422856104738096,False,False,0
1.0031429078318586,-1.8240082275149583,0.13292469485698072,0.2994465673097321,0.186982956828526,11.279414561313825,0.04059957334754047,1.1938774878183511,0.03793880454666794,1.2552605197071542,-0.5365864337122436,-0.09950830107600749,0.010551993958555083,0.061162996230567264,False,False,0
1.066779271468222,-2.252039762756725,0.16369392562621146,0.017093626133261573,0.2836496234951926,19.279414561313825,0.05859957334754047,1.1207530007981346,0.03970326069379897,1.2331080523812703,-0.19178357166468257,-0.04748676731133159,0.010619232800278636,0.06500159998962504,False,False,0
1.1304156351045858,-1.9821429110592785,0.1944631563954422,0.034740684956790925,0.12253851238408153,6.279414561313825,0.07659957334754047,0.9545632786852991,0.020874683320032634,1.4650394389790395,-0.2806978467307708,-0.027814397894356316,0.014741081848405823,0.06880511965029142,False,False,0
1.1940519987409495,-1.764035380476224,0.22523238716467306,0.05238774378032034,0.21920517905074818,14.279414561313825,0.09459957334754047,0.9622089390654676,0.0223675299562375,1.3150255890747744,-0.822153749093199,-0.07740570720442788,0.015143045932585347,0.058310959955033055,False,False,0
1.257688362377313,-1.5815031029613444,0.2560016179339038,0.07003480260384976,0.025871845717414833,10.279414561313825,0.026199573347540465,1.0714873140220662,0.026724717969724667,1.292028267480568,-0.3138937584683775,-0.024445035165143066,0.006822860194931161,0.07346414982812842,False,False,0
1.321324726013677,-3.582059079021909,0.2867708487031345,0.08768186142737917,0.15476073460630377,18.279414561313825,0.044199573347540475,1.0938084889117694,0.01857894957954836,1.1399762531036417,-0.3848127773729677,-0.02817524820497348,0.034631023462537006,0.00896733371505063,False,False,0
1.3849610896500404,-2.7382446611137348,0.3175400794723654,0.10532892025090858,0.2514274012729704,8.279414561313825,0.06219957334754046,1.1945358030601592,0.04440694907936921,1.288031429850305,0.4147514891719765,-0.0027285919550547226,0.040274139779966585,0.018557288790872654,False,False,0
1.448597453286404,-2.2386880245579355,0.34830931024159617,0.12297597907443807,0.05809406793963707,16.279414561313825,0.08019957334754046,0.9148391290677886,0.004768552038896181,1.2066606632575285,-4.755366321741224,-0.1278025167458679,0.027452580695855527,0.01861304431140338,False,False,0
0.8122338169227677,-1.9366787064410753,0.37907854101082694,0.1406230378979674,0.07241505559395808,12.279414561313825,0.09819957334754047,,,,,,,,False,True,1
0.818544861250341,-1.703412659028716,0.4098477717800577,0.15827009672149683,0.16908172226062476,4.279414561313825,0.02979957334754047,1.6315853168352814,0.1300207277213365,1.6643732517212146,-0.19975366862364113,-0.013873297791147158,0.01937062550138673,0.12361080961163216,False,False,0
0.8821812248867046,-1.5137718741837973,0.4406170025492885,0.17591715554502624,0.2657483889272914,5.779414561313825,0.047799573347540474,,,,,,,,False,True,3
0.9458175885230682,-1.3544803959401694,0.47138623331851925,0.19356421436855567,0.1046372778161803,13.779414561313825,0.06579957334754047,140678602.42011687,6.388936907489414,1.5799132188579885,0.5255118036300166,-0.02373051958179253,0.015434272949350278,0.14032959773390055,False,False,0
1.009453952159432,-2.955420565849861,0.10452232799307543,0.21121127319208508,0.201303944482847,9.779414561313825,0.08379957334754047,1.0349157455643305,0.024729944566516674,1.2794421663331796,0.20995763937708747,0.006678445669199321,0.015383791130824363,0.019096521980918924,False,False,0
1.0730903157957954,-2.2988598836531406,0.13529155876230617,0.22885833201561448,0.2979706111495136,17.779414561313825,0.01179957334754046,1.6721655105985678,0.08590216453652251,1.1407641848550492,0.21039555137414012,-0.01289019386951906,0.013396810594156958,0.03852770067480644,False,False,0
1.136726679432159,-1.8841561268271179,0.1660607895315369,0.2475434531228809,0.13685950003840255,7.779414561313825,0.016119573347540463,1.3762468161014798,0.043809152896197225,1.2767316783453087,-0.056057269943025866,-0.003301821741419823,0.015655835780296345,0.0520023649041117,False,False,0
1.2003630430685228,-1.629314090309973,0.19683002030076768,0.2651905119464103,0.2335261667050692,15.779414561313825,0.03411957334754047,,,,,,,,False,True,3
1.2639994067048863,-1.4305870048960956,0.22759925106999843,0.28283757076993976,0.04019283337173582,11.779414561313825,0.05211957334754047,0.9392462291235937,0.009414988005800774,1.267972957338003,-1.2522565305563538,-0.138846138867754,0.006962084569742401,0.05476592051590168,False,False,0
1.32763577034125,-1.8119900389219519,0.2583684818392292,0.00048462959346913244,0.08315579633469884,19.779414561313825,0.07011957334754047,0.9401874189931215,0.00904603084330527,1.2153802839161165,-1.4618013324868484,-0.05472066698922203,0.01701144756813235,0.04033443506996374,False,False,0
1.3912721339776137,-1.6289247249296344,0.28913771260846,0.018131688416998547,0.17982246300136548,6.779414561313825,0.08811957334754046,0.984699015582999,0.028425200849606962,1.4590612827726228,-0.02278963674483493,-0.021754392193638238,0.024130636549498617,0.052281996031013044,False,False,0
1.4549084976139772,-3.466010968881816,0.3199069433776909,0.035778747240527965,0.2764891296680322,14.779414561313825,0.019719573347540466,1.495268396055796,0.06371657638318022,1.1354809241037398,0.6835281628747141,-0.01677491683560223,0.03689863107635364,0.01177819742130273,False,False,0
