table_number,table_title,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1997,172343,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,183741,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,212357,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,222243,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,234902,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Merchant Wholesalers,2002,583806,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,251947,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Manufacturers' sales branches and offices,2002,331859,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Merchant Wholesalers,2003,594678,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,260267,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Manufacturers' sales branches and offices,2003,334411,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Merchant Wholesalers,2004,637155,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,283835,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Manufacturers' sales branches and offices,2004,353320,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,Merchant Wholesalers,2005,651714,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,4231,Sales,Motor Vehicle and Motor Vehicle Parts and Supplies,"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,303768,
